Query_ID	Subject_ID	%_Identity	Alignment_Length	Mismatches	Gap_Openings	Query_Start	Query_End	Subject_Start	Subject_End	E-value	Bit_Score
k141_2561960	4RecName:	38.554	83	39	1	298	50	67	137	1.21e-16	63.9
k141_2561960	9xylanase	40.0	75	33	1	277	53	32	94	1.82e-12	52.0
k141_2561960	6xylanase	36.364	77	37	1	283	53	72	136	3.89e-12	50.8
k141_4163142	4RecName:	35.714	182	97	2	486	1	2	183	1.01e-32	122.0
k141_4163142	6xylanase	37.5	168	91	3	462	1	16	183	1.6499999999999998e-30	115.0
k141_4163142	1xylanase	43.066	137	66	2	378	1	52	187	6.73e-30	114.0
k141_4163142	3xylanase	40.441	136	69	2	375	1	53	187	6e-29	110.0
k141_4163142	11xylanase	41.732	127	74	0	381	1	353	479	1.54e-28	113.0
k141_4163142	9xylanase	41.538	130	74	1	390	1	3	130	5.58e-28	106.0
k141_4163169	9xylanase	39.286	308	168	4	927	4	3	291	9.75e-81	239.0
k141_4163169	11xylanase	41.83	306	159	6	918	4	353	640	3.48e-75	234.0
k141_4163169	4RecName:	38.679	318	165	5	921	4	45	344	3.67e-72	219.0
k141_4163169	6xylanase	37.421	318	169	6	921	4	45	344	6.97e-70	213.0
k141_4163169	1xylanase	37.072	321	168	8	924	4	49	349	1.9199999999999998e-60	189.0
k141_4163169	3xylanase	34.796	319	178	6	924	4	49	349	4.12e-59	185.0
k141_4163169	5xylanase	30.566	265	160	7	909	127	27	271	1.8999999999999998e-34	120.0
k141_6084322	7xylanase	38.043	92	51	4	264	1	38	127	1.31e-16	68.2
k141_961282	9xylanase	39.362	94	54	3	16	291	154	246	5.34e-15	58.9
k141_961282	10xylanase	35.354	99	59	4	1	288	723	819	9.52e-13	52.8
k141_6724750	11xylanase	54.098	61	26	1	22	204	453	511	7.65e-18	65.9
k141_6724750	9xylanase	41.935	62	34	1	19	204	103	162	9.28e-15	57.0
k141_6724750	3xylanase	43.548	62	31	1	22	207	161	218	4.08e-14	55.1
k141_6724750	1xylanase	40.323	62	33	1	22	207	161	218	3.19e-13	52.4
k141_6724750	4RecName:	38.71	62	34	1	22	207	157	214	5.16e-13	52.0
k141_6724750	6xylanase	38.71	62	34	1	22	207	157	214	1.05e-12	51.2
k141_6724776	4RecName:	42.857	56	32	0	16	183	75	130	2.11e-11	52.4
k141_8326139	7xylanase	60.0	75	24	1	3	227	172	240	7.73e-27	92.4
k141_8326139	2xylanase	44.928	69	31	2	3	206	157	219	4.2e-19	69.7
k141_8326139	8xylanase	42.623	61	29	1	24	206	165	219	2.64e-13	54.7
k141_8646580	11xylanase	39.806	103	45	3	2	310	389	474	6.21e-20	73.6
k141_8646580	9xylanase	43.077	65	34	1	116	310	64	125	5.56e-15	59.3
k141_8646580	1xylanase	40.0	75	33	2	110	304	108	180	1.16e-14	58.5
k141_8646580	3xylanase	41.096	73	35	2	110	304	108	180	1.48e-14	58.2
k141_8646580	6xylanase	30.328	122	64	3	2	304	55	176	1.88e-12	52.4
k141_8646650	7xylanase	31.544	149	88	4	586	140	106	240	4.6099999999999997e-23	85.1
k141_8646650	8xylanase	33.566	143	76	5	574	158	93	220	1.89e-18	72.0
k141_2242540	9xylanase	41.975	162	84	2	684	217	168	325	8.04e-44	140.0
k141_2242540	11xylanase	38.012	171	86	4	684	202	517	677	8.7e-32	112.0
k141_2242540	6xylanase	37.778	135	73	5	666	274	226	353	8.829999999999999e-23	85.5
k141_2242540	4RecName:	35.252	139	77	5	675	274	223	353	2.48e-21	81.6
k141_2242540	3xylanase	32.164	171	104	2	684	202	224	392	1.82e-20	79.0
k141_2242540	1xylanase	33.577	137	89	1	684	274	224	358	2.31e-19	75.9
k141_2242540	5xylanase	31.138	167	93	7	687	208	181	332	3.74e-15	63.5
k141_1922283	4RecName:	44.776	67	37	0	205	5	46	112	1.28e-15	61.6
k141_1922283	6xylanase	43.284	67	38	0	205	5	46	112	8.03e-15	59.3
k141_1922283	11xylanase	44.776	67	37	0	205	5	353	419	5.24e-14	57.4
k141_1922283	9xylanase	41.176	68	38	1	205	2	6	71	4.13e-13	54.3
k141_1922283	1xylanase	44.615	65	35	1	199	5	53	116	5.97e-13	53.9
k141_1922283	3xylanase	40.0	65	38	1	199	5	53	116	1.54e-12	52.8
k141_3203137	1xylanase	37.306	193	97	5	842	324	193	381	1.95e-36	124.0
k141_3203137	3xylanase	33.824	204	103	5	842	315	193	392	3.15e-35	121.0
k141_3203137	9xylanase	33.679	193	101	7	824	312	144	331	5.33e-29	103.0
k141_3203137	6xylanase	32.99	194	106	5	842	321	189	378	3.07e-28	102.0
k141_3203137	4RecName:	34.302	172	93	4	842	375	189	356	1.6200000000000003e-27	100.0
k141_3203137	11xylanase	30.964	197	109	7	809	294	495	689	2.4e-20	80.5
k141_3203137	5xylanase	33.333	168	95	8	779	318	169	333	7.01e-14	60.8
k141_3203137	10xylanase	34.0	100	64	2	773	477	731	829	3.69e-11	53.1
k141_2562765	9xylanase	35.2	125	71	2	357	1	193	313	2.5599999999999998e-23	82.8
k141_2562765	11xylanase	39.2	125	59	5	357	4	542	656	2.63e-22	80.9
k141_2562765	4RecName:	38.136	118	64	3	357	13	245	356	1.2300000000000002e-21	78.6
k141_2562765	6xylanase	36.134	119	65	4	357	13	245	356	1.3100000000000002e-21	78.6
k141_2562765	1xylanase	32.5	120	69	3	357	13	249	361	1.79e-17	67.0
k141_2562765	3xylanase	30.833	120	71	3	357	13	249	361	5.21e-16	62.8
k141_1922422	4RecName:	43.956	91	51	0	275	3	40	130	1.92e-20	84.7
k141_1922422	1xylanase	46.988	83	43	1	251	3	53	134	8.16e-20	82.8
k141_1922422	3xylanase	44.578	83	45	1	251	3	53	134	5.88e-19	80.1
k141_1922422	6xylanase	40.659	91	54	0	275	3	40	130	8.94e-19	79.7
k141_1922422	9xylanase	42.857	84	46	1	254	3	7	88	3.34e-16	70.9
k141_1922422	11xylanase	38.095	84	52	0	254	3	354	437	3.86e-15	69.3
k141_1922422	5xylanase	48.148	54	28	0	164	3	55	108	2.65e-11	56.2
k141_1922424	4RecName:	44.444	72	40	0	218	3	52	123	3.01e-19	70.1
k141_1922424	1xylanase	44.737	76	41	1	230	3	53	127	4.64e-19	69.3
k141_1922424	3xylanase	42.105	76	43	1	230	3	53	127	2.81e-18	67.0
k141_1922424	6xylanase	40.278	72	43	0	218	3	52	123	3.11e-17	64.3
k141_1922424	9xylanase	42.105	76	42	1	230	3	8	81	7.64e-16	60.1
k141_1922424	11xylanase	36.842	76	48	0	230	3	355	430	1.89e-14	56.2
k141_1282020	11xylanase	30.625	160	93	7	453	13	427	581	4.35e-17	67.0
k141_8646947	9xylanase	35.294	102	50	5	360	76	58	150	4.17e-14	58.2
k141_8646947	4RecName:	32.759	116	61	7	408	94	82	191	4.16e-12	52.4
k141_8646947	6xylanase	32.759	116	61	7	408	94	82	191	6.61e-12	51.6
k141_8646947	11xylanase	33.621	116	58	5	426	82	394	491	6.8e-12	52.0
k141_8966681	4RecName:	36.134	119	64	4	80	427	191	300	7.86e-16	63.2
k141_8966681	3xylanase	35.0	120	64	4	80	427	195	304	4.58e-15	61.2
k141_8966681	6xylanase	35.294	119	65	4	80	427	191	300	8.15e-15	60.5
k141_8966681	11xylanase	34.234	111	67	2	86	418	491	595	2.28e-14	59.3
k141_8966681	1xylanase	36.667	120	62	5	80	427	195	304	2.29e-14	58.9
k141_8966681	9xylanase	37.398	123	58	6	68	418	136	245	3.23e-11	50.1
k141_1922560	9xylanase	46.763	139	72	1	59	475	3	139	1.1899999999999999e-45	143.0
k141_1922560	4RecName:	47.02	151	69	2	62	481	44	194	5.75e-43	137.0
k141_1922560	1xylanase	46.528	144	65	2	74	472	53	195	1.11e-40	132.0
k141_1922560	11xylanase	45.926	135	73	0	62	466	351	485	4.98e-40	133.0
k141_1922560	3xylanase	43.75	144	69	2	74	472	53	195	9.72e-40	129.0
k141_1922560	6xylanase	43.919	148	72	2	65	475	45	192	5.57e-39	127.0
k141_1922560	5xylanase	32.558	129	81	3	95	475	31	155	1.04e-20	77.8
k141_641978	9xylanase	51.136	88	42	1	1	261	157	244	3.93e-30	101.0
k141_641978	11xylanase	46.067	89	46	2	1	261	506	594	1.2099999999999999e-24	88.2
k141_641978	1xylanase	38.202	89	53	2	1	261	212	300	2.36e-16	64.3
k141_641978	3xylanase	40.449	89	51	2	1	261	212	300	4.73e-16	63.2
k141_641978	5xylanase	40.0	90	51	2	1	261	171	260	1.51e-13	56.2
k141_641978	6xylanase	38.028	71	43	1	52	261	226	296	2.09e-12	52.8
k141_641978	4RecName:	34.831	89	56	2	1	261	208	296	3.45e-12	52.4
k141_7366016	1xylanase	33.906	233	125	7	50	694	186	407	1.34e-32	114.0
k141_7366016	9xylanase	32.877	219	128	9	44	691	127	329	6.22e-32	111.0
k141_7366016	11xylanase	35.622	233	119	13	44	718	476	685	1.1e-31	114.0
k141_7366016	3xylanase	35.556	225	117	9	50	694	186	392	1.31e-31	111.0
k141_7366016	6xylanase	31.915	235	129	8	50	694	182	405	6.69e-29	104.0
k141_7366016	4RecName:	31.064	235	131	8	50	694	182	405	4.3700000000000004e-27	99.4
k141_7686680	9xylanase	37.539	317	179	4	2647	3597	3	300	2.66e-72	234.0
k141_7686680	11xylanase	42.54	315	162	6	2656	3597	353	649	2.63e-71	243.0
k141_7686680	4RecName:	36.695	357	195	6	2572	3603	17	355	6.48e-70	230.0
k141_7686680	6xylanase	36.134	357	197	6	2572	3603	17	355	1.74e-69	229.0
k141_7686680	1xylanase	38.806	335	161	9	2650	3597	49	358	1.95e-62	209.0
k141_7686680	3xylanase	35.976	328	180	6	2650	3597	49	358	6.03e-59	198.0
k141_3203775	11xylanase	36.364	88	54	2	194	454	358	444	2.78e-13	57.8
k141_5125002	4RecName:	38.435	294	153	4	379	1218	17	296	6.44e-66	207.0
k141_5125002	11xylanase	44.488	254	128	4	460	1218	353	594	3.42e-65	212.0
k141_5125002	9xylanase	39.453	256	141	3	451	1218	3	244	4.37e-65	202.0
k141_5125002	6xylanase	36.735	294	158	4	379	1218	17	296	1.05e-62	199.0
k141_5125002	1xylanase	40.53	264	130	5	463	1218	52	300	1.3500000000000001e-58	188.0
k141_5125002	3xylanase	37.262	263	138	5	466	1218	53	300	6.94e-54	175.0
k141_5125002	5xylanase	30.566	265	160	6	469	1251	27	271	9.200000000000001e-33	118.0
k141_8327316	11xylanase	32.044	181	84	8	541	2	452	594	4.62e-12	57.4
k141_7686993	10xylanase	32.486	354	194	14	368	1348	585	920	2.74e-47	169.0
k141_7686993	5xylanase	30.769	260	144	11	461	1174	60	305	1.13e-23	93.6
k141_7686993	11xylanase	31.604	212	132	7	455	1060	387	595	4.86e-19	80.9
k141_6405987	10xylanase	38.994	159	83	5	454	2	585	737	6.969999999999999e-34	115.0
k141_6405987	1xylanase	37.5	56	34	1	364	200	84	139	1.22e-11	51.6
k141_6405987	3xylanase	31.111	90	49	4	430	200	50	139	4.7e-11	50.1
k141_2883693	11xylanase	30.4	125	51	5	387	25	353	445	2.34e-10	52.8
k141_8006626	11xylanase	35.294	153	66	4	226	684	366	485	3.64e-26	96.3
k141_8006626	4RecName:	31.395	172	76	5	226	705	59	200	1.4100000000000001e-22	85.5
k141_8006626	1xylanase	31.214	173	74	7	226	705	64	204	1.57e-18	73.6
k141_2243576	4RecName:	31.21	157	69	6	871	401	180	297	5.72e-13	58.2
k141_2243576	6xylanase	34.711	121	46	5	871	509	180	267	4.29e-12	55.5
k141_7366800	4RecName:	31.771	192	100	7	712	197	173	353	4.17e-18	72.4
k141_7046306	9xylanase	33.613	119	67	3	2	352	223	331	3.9e-15	60.1
k141_7046306	3xylanase	33.654	104	59	3	47	346	294	391	2.72e-14	57.8
k141_6086088	7xylanase	66.667	78	26	0	1	234	162	239	9.74e-35	114.0
k141_6086088	2xylanase	52.055	73	34	1	1	216	147	219	1.04e-22	80.1
k141_6086088	8xylanase	49.315	73	36	1	1	216	147	219	2.85e-20	75.5
k141_7046375	9xylanase	34.884	258	138	4	1419	652	102	331	9.119999999999999e-46	153.0
k141_7046375	11xylanase	30.62	258	145	6	1419	655	451	677	8.149999999999999e-34	124.0
k141_7046375	5xylanase	33.333	150	91	4	1392	952	127	270	3.99e-20	81.6
k141_3845010	9xylanase	41.892	148	76	4	3	440	62	201	2.49e-37	120.0
k141_3845010	3xylanase	37.662	154	82	3	6	440	109	257	1.34e-33	112.0
k141_3845010	1xylanase	38.312	154	81	4	6	440	109	257	3.7100000000000004e-32	108.0
k141_3845010	11xylanase	41.781	146	75	4	9	440	413	550	1.77e-31	108.0
k141_3845010	6xylanase	35.526	152	86	2	9	440	106	253	2.75e-30	103.0
k141_3845010	4RecName:	35.065	154	88	2	3	440	104	253	5.45e-30	102.0
k141_3845010	5xylanase	33.803	142	81	4	18	440	87	216	4.82e-22	80.9
k141_7046911	7xylanase	40.764	157	84	4	1998	1534	56	205	6.66e-30	112.0
k141_7046911	2xylanase	37.58	157	81	6	1998	1534	49	190	7.23e-24	90.9
k141_7046911	8xylanase	35.583	163	84	7	1998	1525	48	194	1.73e-19	80.5
k141_4486028	7xylanase	51.938	129	50	3	1647	1261	119	235	8.32e-39	136.0
k141_4486028	2xylanase	49.606	127	53	2	1647	1267	104	219	7.9e-38	129.0
k141_4486028	8xylanase	46.094	128	58	4	1647	1267	102	219	9.87e-30	110.0
k141_4486028	11xylanase	38.462	169	87	6	501	1	363	516	5.84e-29	111.0
k141_4486028	4RecName:	34.078	179	90	6	501	1	56	218	1.85e-25	98.6
k141_4486028	1xylanase	32.961	179	91	7	501	1	61	222	2.25e-23	92.4
k141_4486028	9xylanase	32.571	175	99	7	525	7	8	165	3.46e-23	90.5
k141_4486028	6xylanase	30.726	179	96	6	501	1	56	218	9.099999999999999e-23	90.5
k141_4486028	3xylanase	31.285	179	94	7	501	1	61	222	3.0000000000000003e-21	85.5
k141_4486028	5xylanase	30.769	143	80	7	435	7	56	179	2.09e-10	52.0
k141_5126185	9xylanase	32.716	162	93	2	2069	1584	186	331	1.3300000000000001e-27	104.0
k141_5126185	6xylanase	36.029	136	66	3	2069	1671	238	355	5.990000000000001e-21	85.5
k141_5126185	4RecName:	37.778	135	65	3	2069	1671	238	355	2.24e-20	83.6
k141_5126185	1xylanase	31.319	182	88	5	2069	1587	242	407	3.61e-19	80.1
k141_2884873	11xylanase	35.629	421	207	17	1230	40	303	683	2.2e-64	209.0
k141_2884873	9xylanase	32.52	369	186	13	1110	67	1	327	3.4100000000000004e-58	184.0
k141_2884873	3xylanase	31.414	382	182	14	1089	58	53	392	5.23e-49	162.0
k141_2884873	1xylanase	30.73	397	180	14	1089	58	53	407	6.3500000000000005e-47	157.0
k141_2884873	6xylanase	30.278	360	184	10	1095	94	46	364	1.11e-44	150.0
k141_2884916	11xylanase	31.034	145	80	6	3	386	555	696	5.46e-15	63.2
k141_5766546	11xylanase	38.636	264	131	10	1121	384	425	675	7.22e-51	171.0
k141_5766546	5xylanase	37.5	256	133	6	1115	375	98	335	8.01e-45	149.0
k141_5766546	9xylanase	34.701	268	141	8	1124	384	75	329	2.04e-44	147.0
k141_5766546	3xylanase	34.752	282	135	13	1121	384	122	390	1.38e-37	130.0
k141_5766546	1xylanase	36.047	258	128	11	1121	420	122	366	1.47e-37	130.0
k141_5766546	4RecName:	32.824	262	135	10	1121	414	118	364	1.68e-36	127.0
k141_5766546	6xylanase	32.819	259	134	9	1124	423	117	360	6.49e-36	125.0
k141_4806362	6xylanase	30.201	149	76	4	8450	8896	147	267	5.82e-13	63.2
k141_4806362	10xylanase	32.673	101	56	2	8699	9001	730	818	2.22e-10	55.5
k141_9289220	7xylanase	33.621	232	129	9	682	2	8	219	2.26e-40	133.0
k141_7047562	9xylanase	41.837	98	45	5	294	4	70	156	1.57e-18	68.9
k141_7047562	11xylanase	37.0	100	51	5	300	4	417	505	7.77e-17	64.3
k141_7047562	3xylanase	36.364	110	47	5	300	4	114	211	2.06e-15	60.1
k141_7047562	1xylanase	36.364	110	47	5	300	4	114	211	3.46e-15	59.7
k141_7047562	4RecName:	33.645	107	54	4	300	4	110	207	1.99e-13	54.7
k141_7047562	6xylanase	31.776	107	56	4	300	4	110	207	3.93e-12	50.8
k141_7367989	7xylanase	40.964	83	46	2	248	3	54	134	2.47e-11	51.6
k141_5767102	10xylanase	47.222	72	33	2	215	3	602	669	3.82e-18	67.0
k141_5767107	10xylanase	48.611	72	32	2	215	3	602	669	1.02e-18	68.6
k141_3525868	11xylanase	38.721	297	126	5	32	919	353	594	9.94e-65	207.0
k141_3525868	9xylanase	36.667	300	133	5	32	931	6	248	6.49e-62	191.0
k141_3525868	4RecName:	36.455	299	143	5	32	925	46	298	6.88e-55	175.0
k141_3525868	6xylanase	35.452	299	146	5	32	925	46	298	4.1e-53	170.0
k141_3525868	3xylanase	35.017	297	145	7	38	925	53	302	7.12e-52	167.0
k141_3525868	1xylanase	36.364	297	141	7	38	925	53	302	7.76e-52	167.0
k141_324371	7xylanase	33.333	156	96	3	504	962	37	187	1.5e-27	101.0
k141_324371	8xylanase	32.203	177	104	6	438	962	11	173	1.75e-22	87.0
k141_1605313	9xylanase	32.903	155	88	2	9	473	193	331	2e-27	96.3
k141_1605313	11xylanase	31.169	154	86	4	9	467	542	676	2.1e-21	80.9
k141_1605313	6xylanase	34.127	126	68	1	9	386	245	355	2.11e-19	74.7
k141_1605313	4RecName:	35.433	127	65	3	9	386	245	355	1.28e-18	72.8
k141_1605313	3xylanase	31.098	164	81	5	9	467	249	391	7.53e-18	70.5
k141_1605313	1xylanase	32.558	172	83	6	9	467	249	406	1.26e-17	69.7
k141_1925019	1xylanase	36.905	168	80	6	470	3	91	244	7.860000000000001e-26	91.7
k141_1925019	3xylanase	35.119	168	83	6	470	3	91	244	5.7699999999999995e-24	86.3
k141_1925019	4RecName:	34.94	166	82	6	470	9	87	238	3.3099999999999997e-23	84.3
k141_1925019	9xylanase	34.028	144	85	4	437	9	52	186	3.5599999999999996e-23	83.6
k141_1925019	11xylanase	34.615	156	86	7	470	9	394	535	7.96e-23	84.0
k141_1925019	6xylanase	31.928	166	87	6	470	9	87	238	2.13e-20	76.6
k141_9289850	9xylanase	55.224	67	30	0	201	1	164	230	6.0700000000000006e-27	90.1
k141_9289850	11xylanase	52.239	67	32	0	201	1	513	579	5.9e-23	80.1
k141_9289850	6xylanase	46.552	58	29	2	171	1	226	282	1.05e-14	56.6
k141_9289850	1xylanase	44.444	63	35	0	189	1	224	286	1.11e-14	56.6
k141_9289850	4RecName:	46.552	58	29	2	171	1	226	282	2.48e-14	55.8
k141_9289850	3xylanase	49.091	55	28	0	189	25	224	278	1.59e-13	53.5
k141_7689537	9xylanase	39.941	338	180	5	12130	11123	7	323	5.66e-78	254.0
k141_7689537	11xylanase	39.482	309	162	6	12037	11123	383	670	2.78e-65	228.0
k141_7689537	4RecName:	38.17	317	164	5	12097	11186	58	355	3.47e-61	208.0
k141_7689537	6xylanase	37.539	317	166	6	12097	11186	58	355	6.81e-60	204.0
k141_7689537	3xylanase	34.758	351	187	7	12097	11105	63	391	5.2e-59	201.0
k141_7689537	1xylanase	36.288	361	183	9	12097	11105	63	406	1.1800000000000001e-58	201.0
k141_7689537	5xylanase	33.66	306	166	7	12004	11096	65	336	4.88e-41	149.0
k141_6408246	11xylanase	38.667	75	38	3	282	58	417	483	2.02e-15	60.1
k141_6408246	9xylanase	35.789	95	49	5	282	1	68	151	4e-15	58.9
k141_6408246	3xylanase	35.294	102	49	5	282	1	114	206	9.27e-14	55.1
k141_6408246	1xylanase	35.294	102	49	5	282	1	114	206	1.86e-13	54.3
k141_6408246	4RecName:	38.235	102	46	6	282	1	110	202	2.4e-12	51.2
k141_3206100	1xylanase	35.227	88	51	2	74	319	210	297	8.82e-11	50.4
k141_7689918	9xylanase	32.432	370	186	12	2631	1579	7	331	6.249999999999999e-54	181.0
k141_7689918	3xylanase	31.635	373	178	10	2604	1588	61	390	1.89e-52	179.0
k141_7689918	6xylanase	33.967	368	171	13	2604	1585	56	379	1.77e-51	176.0
k141_7689918	4RecName:	33.994	353	165	11	2604	1618	56	364	7.49e-51	175.0
k141_7689918	1xylanase	30.227	397	185	10	2631	1588	52	405	2.6599999999999997e-48	167.0
k141_7689918	11xylanase	33.242	364	185	12	2631	1588	354	675	7.26e-44	160.0
k141_7048725	9xylanase	40.945	127	72	3	7	381	121	246	9.18e-30	100.0
k141_7048725	3xylanase	41.732	127	72	2	4	381	177	302	2.1700000000000002e-29	100.0
k141_7048725	1xylanase	40.945	127	73	2	4	381	177	302	9.74e-28	95.9
k141_7048725	4RecName:	39.844	128	73	3	4	381	173	298	1.1499999999999999e-23	84.7
k141_7048725	11xylanase	34.921	126	78	4	10	378	471	595	5.46e-23	83.2
k141_7048725	6xylanase	39.062	128	74	3	4	381	173	298	1.76e-22	81.3
k141_7048725	5xylanase	35.659	129	72	7	7	375	137	260	4.17e-13	54.7
k141_9290619	10xylanase	36.25	80	51	0	254	15	903	982	1.15e-11	55.8
k141_6408782	9xylanase	41.896	327	172	5	4415	3465	7	325	6.44e-80	258.0
k141_6408782	11xylanase	41.692	331	167	7	4415	3465	354	672	3.43e-72	247.0
k141_6408782	4RecName:	37.5	352	172	9	4466	3522	13	353	2.42e-64	216.0
k141_6408782	6xylanase	36.957	322	180	5	4433	3516	41	355	8.119999999999999e-62	208.0
k141_6408782	1xylanase	36.49	359	197	7	4550	3522	15	358	9.19e-62	208.0
k141_6408782	3xylanase	36.311	347	188	7	4412	3450	53	392	3.63e-61	206.0
k141_6408782	5xylanase	33.663	303	167	8	4325	3450	55	334	1.91e-42	151.0
k141_1285632	11xylanase	41.489	94	43	2	284	3	355	436	1.34e-17	67.8
k141_1285632	4RecName:	37.234	94	47	2	284	3	48	129	2.53e-15	60.8
k141_1285632	6xylanase	33.981	103	55	3	308	3	39	129	1.38e-12	53.1
k141_1285632	9xylanase	35.106	94	47	3	284	3	8	87	5.89e-12	51.2
k141_7690424	9xylanase	40.78	282	157	4	14	847	25	300	1.44e-77	230.0
k141_7690424	11xylanase	41.696	283	153	6	14	847	374	649	4.2199999999999997e-69	217.0
k141_7690424	4RecName:	38.462	299	151	10	14	847	67	353	9.9e-65	199.0
k141_7690424	6xylanase	35.69	297	166	7	14	853	67	355	3.87e-61	190.0
k141_7690424	3xylanase	35.764	288	159	6	38	847	79	358	1.4200000000000001e-58	183.0
k141_7690424	1xylanase	36.014	286	161	5	38	847	79	358	7.02e-58	181.0
k141_7690424	5xylanase	34.686	271	155	6	44	847	55	306	1.71e-47	154.0
k141_8330568	11xylanase	35.514	107	57	2	362	682	351	445	3.19e-16	67.0
k141_8330568	9xylanase	31.481	108	60	2	362	685	4	97	7.95e-12	53.5
k141_6409175	9xylanase	44.444	126	63	2	367	2	33	155	4.05e-35	115.0
k141_6409175	4RecName:	36.842	152	82	3	424	5	56	205	1.16e-32	109.0
k141_6409175	6xylanase	36.184	152	83	3	424	5	56	205	2.7e-31	106.0
k141_6409175	5xylanase	38.06	134	77	2	430	35	30	159	2.5599999999999998e-28	97.8
k141_6409175	1xylanase	36.567	134	73	2	373	5	77	209	1.25e-27	96.3
k141_6409175	3xylanase	34.416	154	88	3	433	5	58	209	3.520000000000001e-27	94.7
k141_6409175	11xylanase	33.803	142	91	2	424	5	363	503	3.89e-26	92.8
k141_5128558	11xylanase	37.097	124	65	3	380	12	332	443	9.18e-22	80.1
k141_5128558	4RecName:	38.462	104	52	2	314	3	48	139	3.25e-20	75.5
k141_5128558	6xylanase	35.238	105	56	2	317	3	47	139	4.81e-17	66.6
k141_5128558	1xylanase	34.286	105	56	3	317	3	52	143	2.62e-15	61.6
k141_5128558	9xylanase	36.275	102	51	3	317	12	7	94	3.33e-15	60.8
k141_5128558	3xylanase	32.381	105	58	3	317	3	52	143	4.61e-14	57.8
k141_3527363	3xylanase	42.446	139	70	1	44	430	79	217	1.4e-37	122.0
k141_3527363	6xylanase	40.278	144	75	2	32	430	70	213	8.070000000000001e-37	120.0
k141_3527363	4RecName:	40.288	139	73	1	44	430	75	213	1.02e-36	120.0
k141_3527363	1xylanase	43.165	139	69	2	44	430	79	217	4.35e-36	119.0
k141_3527363	11xylanase	45.802	131	66	3	47	430	383	511	5.3e-36	120.0
k141_3527363	9xylanase	45.669	127	66	2	56	430	37	162	1.4200000000000002e-35	116.0
k141_3527363	5xylanase	36.752	117	69	1	80	430	65	176	8.199999999999999e-23	82.8
k141_5428	11xylanase	37.079	89	53	3	257	520	358	444	1.43e-13	58.2
k141_5428	4RecName:	33.696	92	56	2	284	544	59	150	1.27e-11	52.0
k141_7369793	11xylanase	55.882	68	30	0	11	214	486	553	1.35e-22	79.3
k141_7369793	9xylanase	55.0	60	27	0	35	214	145	204	7.02e-22	76.6
k141_7369793	1xylanase	45.161	62	33	1	35	217	200	261	2.84e-13	52.8
k141_7369793	3xylanase	43.548	62	34	1	35	217	200	261	7.69e-13	51.6
k141_7369793	6xylanase	42.857	63	33	3	35	217	196	257	1.17e-12	51.2
k141_7369793	5xylanase	41.176	68	39	1	17	217	153	220	1.37e-12	50.8
k141_7369793	4RecName:	44.444	63	32	3	35	217	196	257	2.73e-12	50.1
k141_5128900	9xylanase	43.86	171	86	5	508	2	82	244	6.02e-42	134.0
k141_5128900	3xylanase	43.82	178	86	5	508	2	128	300	2.68e-41	133.0
k141_5128900	1xylanase	43.258	178	87	5	508	2	128	300	4.8899999999999997e-39	127.0
k141_5128900	4RecName:	39.779	181	89	6	508	2	124	296	7.990000000000001e-35	116.0
k141_5128900	6xylanase	37.989	179	95	5	508	2	124	296	1.1100000000000001e-31	108.0
k141_5128900	11xylanase	36.047	172	99	6	508	2	431	594	5.100000000000001e-31	107.0
